PartitionKey,RowKey,Timestamp,ChainId,ChainName,Kardex,StoreId,StoreName,Address,City,Zipcode,Active,Phone,CvrNumber,ValidFrom,MondayFrom,MondayTo,TuesdayFrom,TuesdayTo,WednesdayFrom,WednesdayTo,ThursdayFrom,ThursdayTo,FridayFrom,FridayTo,SaturdayFrom,SaturdayTo,SundayFrom,SundayTo
120,20180811,2018-08-10T12:23:37.132Z,2,Kvickly,1600,120,Kvickly Taastrup,Taastrup Torv 18,TAASTRUP,2630,true,43300179,26259495,2018-08-11T00:00:00.000Z,08:00,21:00,08:00,21:00,08:00,21:00,08:00,21:00,08:00,21:00,08:00,21:00,08:00,21:00
122,20000101,2017-08-11T12:23:37.122Z,3,SuperBrugsen,3642,122,SuperBrugsen Tørring,Torvegade 6,TØRRING,7160,true,75801344,40105611,2000-01-01T00:00:00.000Z,08:00,20:00,08:00,20:00,08:00,20:00,08:00,20:00,08:00,20:00,08:00,20:00,09:00,20:00
123,20000101,2017-08-11T12:23:37.193Z,3,SuperBrugsen,3713,123,SuperBrugsen Vorbasse,Vestergade 11,VORBASSE,6623,true,75333014,43771728,2000-01-01T00:00:00.000Z,08:00,20:00,08:00,20:00,08:00,20:00,08:00,20:00,08:00,20:00,08:00,20:00,08:00,20:00
124,20000101,2017-08-11T12:23:54.923Z,3,SuperBrugsen,4012,124,SuperBrugsen Asnæs,Centervejen 1,ASNÆS,4550,true,59650002,69841414,2000-01-01T00:00:00.000Z,08:00,20:00,08:00,20:00,08:00,20:00,08:00,20:00,08:00,20:00,08:00,20:00,08:00,20:00
125,20000101,2017-08-11T12:23:39.506Z,3,SuperBrugsen,8101,125,SuperBrugsen Hornbæk,Sauntevej 1,HORNBÆK,3100,true,49701984,17510614,2000-01-01T00:00:00.000Z,08:00,20:00,08:00,20:00,08:00,20:00,08:00,20:00,08:00,20:00,08:00,20:00,08:00,20:00
125,20180703,2018-07-02T12:23:40.472Z,3,SuperBrugsen,8101,125,SuperBrugsen Hornbæk,Sauntevej 1,HORNBÆK,3100,true,49701984,17510614,2018-07-03T00:00:00.000Z,07:00,21:00,07:00,21:00,07:00,21:00,07:00,21:00,07:00,21:00,07:00,21:00,07:00,21:00
125,20180808,2018-08-08T10:23:37.684Z,3,SuperBrugsen,8101,125,SuperBrugsen Hornbæk,Sauntevej 1,HORNBÆK,3100,true,49701984,17510614,2018-08-08T00:00:00.000Z,08:00,20:00,08:00,20:00,08:00,20:00,08:00,20:00,08:00,20:00,08:00,20:00,08:00,20:00
125,20180809,2018-08-09T07:23:40.771Z,3,SuperBrugsen,8101,125,SuperBrugsen Hornbæk,Sauntevej 1,HORNBÆK,3100,true,49701984,17510614,2018-08-09T00:00:00.000Z,08:00,20:00,08:00,20:00,08:00,20:00,08:00,20:00,07:00,21:00,07:00,21:00,07:00,21:00
125,20180810,2018-08-10T07:23:37.532Z,3,SuperBrugsen,8101,125,SuperBrugsen Hornbæk,Sauntevej 1,HORNBÆK,3100,true,49701984,17510614,2018-08-10T00:00:00.000Z,08:00,20:00,08:00,20:00,08:00,20:00,08:00,20:00,08:00,20:00,07:00,21:00,07:00,21:00
125,20180811,2018-08-11T08:23:36.350Z,3,SuperBrugsen,8101,125,SuperBrugsen Hornbæk,Sauntevej 1,HORNBÆK,3100,true,49701984,17510614,2018-08-11T00:00:00.000Z,08:00,20:00,08:00,20:00,08:00,20:00,08:00,20:00,08:00,20:00,08:00,20:00,07:00,21:00
125,20180812,2018-08-11T12:23:37.280Z,3,SuperBrugsen,8101,125,SuperBrugsen Hornbæk,Sauntevej 1,HORNBÆK,3100,true,49701984,17510614,2018-08-12T00:00:00.000Z,08:00,20:00,08:00,20:00,08:00,20:00,08:00,20:00,08:00,20:00,07:00,21:00,07:00,21:00
125,20180813,2018-08-12T12:23:37.371Z,3,SuperBrugsen,8101,125,SuperBrugsen Hornbæk,Sauntevej 1,HORNBÆK,3100,true,49701984,17510614,2018-08-13T00:00:00.000Z,08:00,20:00,08:00,20:00,08:00,20:00,08:00,20:00,08:00,20:00,08:00,20:00,07:00,21:00
125,20180814,2018-08-13T12:23:37.771Z,3,SuperBrugsen,8101,125,SuperBrugsen Hornbæk,Sauntevej 1,HORNBÆK,3100,true,49701984,17510614,2018-08-14T00:00:00.000Z,08:00,20:00,08:00,20:00,08:00,20:00,08:00,20:00,08:00,20:00,08:00,20:00,08:00,20:00
